Well	Assay	Well Type	Threshold (dR)	Ct (dR)
A1	SYBR	Unknown	2093.073	27.58
A2	SYBR	Unknown	2093.073	27.7
A3	SYBR	Unknown	2093.073	27.64
A4	SYBR	Unknown	2093.073	27.51
A5	SYBR	Unknown	2093.073	27.67
A6	SYBR	Unknown	2093.073	28.17
A7	SYBR	Unknown	2093.073	28.38
A8	SYBR	Unknown	2093.073	28.28
A9	SYBR	Unknown	2093.073	28.47
A10	SYBR	Unknown	2093.073	28.56
A11	SYBR	Unknown	2093.073	25.43
A12	SYBR	Unknown	2093.073	25.29
B1	SYBR	Unknown	2093.073	25.83
B2	SYBR	Unknown	2093.073	25.84
B3	SYBR	Unknown	2093.073	25.94
B4	SYBR	Unknown	2093.073	26.16
B5	SYBR	Unknown	2093.073	26.03
B6	SYBR	Unknown	2093.073	26.71
B7	SYBR	Unknown	2093.073	26.69
B8	SYBR	Unknown	2093.073	26.78
B9	SYBR	Unknown	2093.073	26.87
B10	SYBR	Unknown	2093.073	27.11
B11	SYBR	Unknown	2093.073	25.46
B12	SYBR	Unknown	2093.073	25.74
C1	SYBR	Unknown	2093.073	27.46
C2	SYBR	Unknown	2093.073	27.69
C3	SYBR	Unknown	2093.073	27.71
C4	SYBR	Unknown	2093.073	27.81
C5	SYBR	Unknown	2093.073	27.84
C6	SYBR	Unknown	2093.073	28.44
C7	SYBR	Unknown	2093.073	28.34
C8	SYBR	Unknown	2093.073	28.3
C9	SYBR	Unknown	2093.073	28.46
C10	SYBR	Unknown	2093.073	28.44
C11	SYBR	Unknown	2093.073	25.53
C12	SYBR	Unknown	2093.073	25.71
D1	SYBR	Unknown	2093.073	26.12
D2	SYBR	Unknown	2093.073	26.03
D3	SYBR	Unknown	2093.073	26.28
D4	SYBR	Unknown	2093.073	26.47
D5	SYBR	Unknown	2093.073	26.47
D6	SYBR	Unknown	2093.073	26.43
D7	SYBR	Unknown	2093.073	27.14
D8	SYBR	Unknown	2093.073	26.65
D9	SYBR	Unknown	2093.073	26.89
D10	SYBR	Unknown	2093.073	26.92
D11	SYBR	Unknown	2093.073	25.8
D12	SYBR	Unknown	2093.073	25.58
E1	SYBR	Unknown	2093.073	25.14
E2	SYBR	Unknown	2093.073	24.5
E3	SYBR	Unknown	2093.073	24.61
E4	SYBR	Unknown	2093.073	24.48
E5	SYBR	Unknown	2093.073	24.7
E6	SYBR	Unknown	2093.073	24.58
E7	SYBR	Unknown	2093.073	24.74
E8	SYBR	Unknown	2093.073	24.52
E9	SYBR	Unknown	2093.073	24.49
E10	SYBR	Unknown	2093.073	24.76
E11	SYBR	Unknown	2093.073	25.52
E12	SYBR	Unknown	2093.073	25.46
F1	SYBR	Unknown	2093.073	25.92
F2	SYBR	Unknown	2093.073	25.88
F3	SYBR	Unknown	2093.073	26.23
F4	SYBR	Unknown	2093.073	26.14
F5	SYBR	Unknown	2093.073	26.27
F6	SYBR	Unknown	2093.073	26.54
F7	SYBR	Unknown	2093.073	26.73
F8	SYBR	Unknown	2093.073	26.77
F9	SYBR	Unknown	2093.073	26.77
F10	SYBR	Unknown	2093.073	26.73
F11	SYBR	Unknown	2093.073	No Ct
F12	SYBR	Unknown	2093.073	No Ct
G1	SYBR	Unknown	2093.073	26.9
G2	SYBR	Unknown	2093.073	26.99
G3	SYBR	Unknown	2093.073	27.2
G4	SYBR	Unknown	2093.073	27.4
G5	SYBR	Unknown	2093.073	27.42
G6	SYBR	Unknown	2093.073	27.99
G7	SYBR	Unknown	2093.073	28.57
G8	SYBR	Unknown	2093.073	28.36
G9	SYBR	Unknown	2093.073	28.55
G10	SYBR	Unknown	2093.073	28.48
G11	SYBR	Unknown	2093.073	No Ct
G12	SYBR	Unknown	2093.073	No Ct
H1	SYBR	Unknown	2093.073	26.06
H2	SYBR	Unknown	2093.073	26
H3	SYBR	Unknown	2093.073	26.18
H4	SYBR	Unknown	2093.073	26.32
H5	SYBR	Unknown	2093.073	26.32
H6	SYBR	Unknown	2093.073	26.6
H7	SYBR	Unknown	2093.073	26.49
H8	SYBR	Unknown	2093.073	26.99
H9	SYBR	Unknown	2093.073	26.78
H10	SYBR	Unknown	2093.073	26.64
H11	SYBR	Unknown	2093.073	No Ct
H12	SYBR	Unknown	2093.073	No Ct
