Well	Well Type	Threshold (dR)	Ct (dR)
A1	Unknown	1485.098	29.67
A2	Unknown	1485.098	30.65
A3	Unknown	1485.098	29.87
A4	Unknown	1485.098	29.44
A5	Unknown	1485.098	29.68
A6	Unknown	1485.098	25.23
A7	Unknown	1485.098	25.22
A8	Unknown	1485.098	25.14
A9	Unknown	1485.098	25.18
A10	Unknown	1485.098	25.22
A11	Unknown	1485.098	24.8
A12	Unknown	1485.098	24.94
B1	Unknown	1485.098	27.7
B2	Unknown	1485.098	27.67
B3	Unknown	1485.098	27.76
B4	Unknown	1485.098	27.68
B5	Unknown	1485.098	27.67
B6	Unknown	1485.098	23.53
B7	Unknown	1485.098	23.73
B8	Unknown	1485.098	23.48
B9	Unknown	1485.098	23.47
B10	Unknown	1485.098	23.48
B11	Unknown	1485.098	24.75
B12	Unknown	1485.098	25.02
C1	Unknown	1485.098	24.51
C2	Unknown	1485.098	24.6
C3	Unknown	1485.098	24.65
C4	Unknown	1485.098	24.66
C5	Unknown	1485.098	24.64
C6	Unknown	1485.098	22.81
C7	Unknown	1485.098	22.67
C8	Unknown	1485.098	22.56
C9	Unknown	1485.098	22.65
C10	Unknown	1485.098	22.44
C11	Unknown	1485.098	24.89
C12	Unknown	1485.098	24.77
D1	Unknown	1485.098	26.82
D2	Unknown	1485.098	26.76
D3	Unknown	1485.098	26.61
D4	Unknown	1485.098	26.95
D5	Unknown	1485.098	26.34
D6	Unknown	1485.098	24.14
D7	Unknown	1485.098	24.49
D8	Unknown	1485.098	24.11
D9	Unknown	1485.098	23.99
D10	Unknown	1485.098	24.22
D11	Unknown	1485.098	25.04
D12	Unknown	1485.098	24.66
E1	Unknown	1485.098	23.47
E2	Unknown	1485.098	23.33
E3	Unknown	1485.098	23.6
E4	Unknown	1485.098	23.45
E5	Unknown	1485.098	23.37
E6	Unknown	1485.098	22.76
E7	Unknown	1485.098	22.87
E8	Unknown	1485.098	22.86
E9	Unknown	1485.098	22.6
E10	Unknown	1485.098	22.8
E11	Unknown	1485.098	24.9
E12	Unknown	1485.098	24.75
F1	Unknown	1485.098	27.07
F2	Unknown	1485.098	26.85
F3	Unknown	1485.098	27.05
F4	Unknown	1485.098	27.02
F5	Unknown	1485.098	27.16
F6	Unknown	1485.098	24.02
F7	Unknown	1485.098	23.97
F8	Unknown	1485.098	23.74
F9	Unknown	1485.098	23.81
F10	Unknown	1485.098	23.67
F11	Unknown	1485.098	No Ct
F12	Unknown	1485.098	No Ct
G1	Unknown	1485.098	25.09
G2	Unknown	1485.098	24.76
G3	Unknown	1485.098	25.11
G4	Unknown	1485.098	25.05
G5	Unknown	1485.098	25.18
G6	Unknown	1485.098	23.5
G7	Unknown	1485.098	23.3
G8	Unknown	1485.098	23.42
G9	Unknown	1485.098	23.55
G10	Unknown	1485.098	23.24
G11	Unknown	1485.098	No Ct
G12	Unknown	1485.098	No Ct
H1	Unknown	1485.098	27.46
H2	Unknown	1485.098	27.13
H3	Unknown	1485.098	27.04
H4	Unknown	1485.098	27.07
H5	Unknown	1485.098	27.15
H6	Unknown	1485.098	23.86
H7	Unknown	1485.098	23.9
H8	Unknown	1485.098	23.87
H9	Unknown	1485.098	25
H10	Unknown	1485.098	23.87
H11	Unknown	1485.098	No Ct
H12	Unknown	1485.098	No Ct
